model,macro_f1_mean,macro_f1_std,macro_f1_fold_min,macro_f1_fold_max,elapsed_s
LogReg credits,0.43832305482534045,0.014167432866801794,0.4163704611965094,0.46006939023332466,2.0
LogReg credits + overview,0.4447167182049676,0.015954668985434496,0.41877366149638934,0.4629422388015514,1.1
RandomForest credits,0.35995324027717185,0.012403252894442,0.34376368141252317,0.3758316580709499,2.4
GradientBoosting credits,0.38857950392713203,0.015071449710236141,0.36844124119274024,0.40972829591328447,2.8
XGBoost credits (default),0.41790050785598504,0.011228162329871933,0.4000350018656655,0.43019479441004105,0.8
